id,texto,texto_preprocesado,sentimiento,prediccion_logistic_regression_augmented
190,El estado no ha cambiado,el estado no ha cambiado,neutral,negativo
191,La solicitud quedo para seguimiento,la solicitud quedo para seguimiento,neutral,neutral
192,El archivo se mantiene almacenado,el archivo se mantiene almacenado,neutral,neutral
193,La orden esta en revision,la orden esta en revision,neutral,neutral
194,El reporte contiene fecha y estado,el reporte contiene fecha y estado,neutral,neutral
195,La notificacion fue enviada,la notificacion fue enviada,neutral,neutral
196,El sistema muestra el resultado,el sistema muestra el resultado,neutral,neutral
197,La entrega fue asignada,la entrega fue asignada,neutral,neutral
198,El caso sigue abierto,el caso sigue abierto,neutral,negativo
199,La consulta fue recibida,la consulta fue recibida,neutral,neutral
200,El panel conserva los datos,el panel conserva los datos,neutral,neutral
201,El pedido llego tarde y con detalles pendientes,el pedido llego tarde y con detalles pendientes,negativo,negativo
202,La respuesta no aclaro lo importante,la respuesta no aclaro lo importante,negativo,negativo
203,El proceso fue confuso desde el inicio,el proceso fue confuso desde el inicio,negativo,negativo
204,La plataforma se cerro mientras avanzaba,la plataforma se cerro mientras avanzaba,negativo,negativo
205,El soporte tardo y no resolvio el caso,el soporte tardo y no resolvio el caso,negativo,negativo
206,El producto fallo en la primera prueba,el producto fallo en la primera prueba,negativo,negativo
207,La informacion no coincidia con lo pedido,la informacion no coincidia con lo pedido,negativo,negativo
208,La entrega llego incompleta,la entrega llego incompleta,negativo,negativo
209,El sistema perdio los cambios,el sistema perdio los cambios,negativo,negativo
210,La compra termino siendo complicada,la compra termino siendo complicada,negativo,negativo
211,La atencion fue poco clara,la atencion fue poco clara,negativo,negativo
212,El reporte no mostro los datos esperados,el reporte no mostro los datos esperados,negativo,negativo
213,La guia dejo dudas sin resolver,la guia dejo dudas sin resolver,negativo,negativo
214,El tramite se quedo detenido,el tramite se quedo detenido,negativo,negativo
215,La respuesta llego demasiado tarde,la respuesta llego demasiado tarde,negativo,negativo
216,El servicio fue inestable durante la solicitud,el servicio fue inestable durante la solicitud,negativo,negativo
217,El producto no cumplio con lo indicado,el producto no cumplio con lo indicado,negativo,negativo
218,La plataforma no permitio terminar,la plataforma no permitio terminar,negativo,negativo
219,La orientacion fue insuficiente,la orientacion fue insuficiente,negativo,negativo
220,El pedido fue cancelado sin aviso claro,el pedido fue cancelado sin aviso claro,negativo,negativo
221,La experiencia dejo una sensacion negativa,la experiencia dejo una sensacion negativa,negativo,negativo
222,El sistema mostro errores al guardar,el sistema mostro errores al guardar,negativo,negativo
223,La solicitud no avanzo despues de varios intentos,la solicitud no avanzo despues de varios intentos,negativo,negativo
224,La entrega quedo sin seguimiento,la entrega quedo sin seguimiento,negativo,negativo
225,El soporte respondio con informacion incompleta,el soporte respondio con informacion incompleta,negativo,negativo
226,El proceso tomo mas tiempo del esperado,el proceso tomo mas tiempo del esperado,negativo,negativo
227,La herramienta fue dificil de usar,la herramienta fue dificil de usar,negativo,negativo
228,La compra genero varios inconvenientes,la compra genero varios inconvenientes,negativo,negativo
229,El producto llego con fallas visibles,el producto llego con fallas visibles,negativo,negativo
230,La respuesta fue breve pero poco util,la respuesta fue breve pero poco util,negativo,negativo
231,El servicio no dio confianza,el servicio no dio confianza,negativo,negativo
232,La informacion fue contradictoria,la informacion fue contradictoria,negativo,neutral
233,El tramite tuvo demasiados pasos,el tramite tuvo demasiados pasos,negativo,negativo
234,La plataforma cargo muy lento,la plataforma cargo muy lento,negativo,negativo
235,El pedido no coincidio con la solicitud,el pedido no coincidio con la solicitud,negativo,negativo
236,La guia no explico el problema principal,la guia no explico el problema principal,negativo,negativo
237,El resultado final fue decepcionante,el resultado final fue decepcionante,negativo,positivo
238,La gestion fue desordenada,la gestion fue desordenada,negativo,positivo
239,La atencion dejo el caso abierto,la atencion dejo el caso abierto,negativo,negativo
240,El sistema fallo al finalizar,el sistema fallo al finalizar,negativo,negativo
241,El producto tuvo bajo rendimiento,el producto tuvo bajo rendimiento,negativo,negativo
242,La entrega no fue cuidadosa,la entrega no fue cuidadosa,negativo,negativo
243,El servicio fue lento desde el inicio,el servicio fue lento desde el inicio,negativo,negativo
244,La consulta quedo sin resolver,la consulta quedo sin resolver,negativo,neutral
245,La informacion no fue suficiente,la informacion no fue suficiente,negativo,negativo
246,El proceso termino con error,el proceso termino con error,negativo,negativo
247,La plataforma no respondia bien,la plataforma no respondia bien,negativo,negativo
248,El soporte no explico los pasos,el soporte no explico los pasos,negativo,negativo
249,El pedido tuvo retrasos repetidos,el pedido tuvo retrasos repetidos,negativo,negativo
250,La experiencia fue frustrante,la experiencia fue frustrante,negativo,negativo
251,No me gusto la forma en que cerraron el caso,no me gusto la forma en que cerraron el caso,negativo,positivo
252,El servicio prometia mas de lo que entrego,el servicio prometia mas de lo que entrego,negativo,positivo
253,La espera fue larga y sin actualizaciones,la espera fue larga y sin actualizaciones,negativo,positivo
254,El producto no parecia en buen estado,el producto no parecia en buen estado,negativo,neutral
255,La solucion no funciono cuando la probe,la solucion no funciono cuando la probe,negativo,positivo
256,El sistema se trabo varias veces,el sistema se trabo varias veces,negativo,negativo
257,La respuesta no resolvio la duda,la respuesta no resolvio la duda,negativo,positivo
258,El tramite fue pesado y poco claro,el tramite fue pesado y poco claro,negativo,negativo
259,La entrega llego con errores,la entrega llego con errores,negativo,negativo
260,La comunicacion fue deficiente,la comunicacion fue deficiente,negativo,positivo
261,El soporte fue lento para responder,el soporte fue lento para responder,negativo,negativo
262,La compra no cumplio mis expectativas,la compra no cumplio mis expectativas,negativo,negativo
263,El producto se sintio inestable,el producto se sintio inestable,negativo,positivo
264,La plataforma mostro mensajes confusos,la plataforma mostro mensajes confusos,negativo,positivo
265,El proceso me hizo repetir pasos,el proceso me hizo repetir pasos,negativo,positivo
266,La atencion no dio una salida concreta,la atencion no dio una salida concreta,negativo,negativo
267,El reporte estaba incompleto,el reporte estaba incompleto,negativo,neutral
268,La guia fue dificil de seguir,la guia fue dificil de seguir,negativo,positivo
269,La solicitud quedo bloqueada,la solicitud quedo bloqueada,negativo,neutral
270,El pedido no tuvo seguimiento claro,el pedido no tuvo seguimiento claro,negativo,negativo
271,La informacion llego tarde,la informacion llego tarde,negativo,negativo
272,El sistema no confirmo los cambios,el sistema no confirmo los cambios,negativo,negativo
273,La entrega tuvo una mala gestion,la entrega tuvo una mala gestion,negativo,positivo
274,El producto no respondio bien,el producto no respondio bien,negativo,positivo
275,La consulta quedo en el aire,la consulta quedo en el aire,negativo,neutral
276,El servicio genero mas dudas,el servicio genero mas dudas,negativo,negativo
277,La experiencia fue incomoda,la experiencia fue incomoda,negativo,positivo
278,La respuesta no fue suficiente,la respuesta no fue suficiente,negativo,negativo
279,El tramite se volvio agotador,el tramite se volvio agotador,negativo,neutral
280,La plataforma impidio continuar,la plataforma impidio continuar,negativo,positivo
281,El soporte no entendio el problema,el soporte no entendio el problema,negativo,positivo
282,El pedido llego con faltantes,el pedido llego con faltantes,negativo,positivo
283,La informacion estaba desactualizada,la informacion estaba desactualizada,negativo,neutral
284,El sistema no cargo correctamente,el sistema no cargo correctamente,negativo,negativo
285,La compra se sintio insegura,la compra se sintio insegura,negativo,positivo
286,El producto no cumplio lo basico,el producto no cumplio lo basico,negativo,negativo
287,La atencion fue distante,la atencion fue distante,negativo,positivo
288,El proceso fue demasiado lento,el proceso fue demasiado lento,negativo,negativo
289,La entrega fue poco cuidadosa,la entrega fue poco cuidadosa,negativo,neutral
290,La solicitud fue rechazada sin explicacion,la solicitud fue rechazada sin explicacion,negativo,neutral
291,El servicio fallo cuando lo necesitaba,el servicio fallo cuando lo necesitaba,negativo,negativo
292,La herramienta no ayudo a resolver la tarea,la herramienta no ayudo a resolver la tarea,negativo,positivo
293,El reporte genero confusion,el reporte genero confusion,negativo,neutral
294,La respuesta fue tardia e incompleta,la respuesta fue tardia e incompleta,negativo,neutral
295,El sistema no permitio finalizar,el sistema no permitio finalizar,negativo,negativo
296,La experiencia quedo por debajo de lo esperado,la experiencia quedo por debajo de lo esperado,negativo,positivo
297,El seguimiento fue insuficiente,el seguimiento fue insuficiente,negativo,negativo
298,La entrega no llego como se indico,la entrega no llego como se indico,negativo,negativo
299,El resultado no fue satisfactorio,el resultado no fue satisfactorio,negativo,negativo
300,La orientacion no ayudo a cerrar el caso,la orientacion no ayudo a cerrar el caso,negativo,negativo
