id,texto,sentimiento
325,Great support from the team,positivo
326,Too many bugs and errors,negativo
327,This update includes bug fixes,neutral
328,Excellent usability and speed,positivo
329,This is the worst tool I've used,negativo
330,The file was uploaded successfully,neutral
331,Highly recommend this tool,positivo
332,It made my work harder,negativo
333,The project deadline is next Monday,neutral
334,I love this product,positivo
335,Very disappointed with the performance,negativo
336,This update includes bug fixes,neutral
337,Everything works perfectly,positivo
338,Keeps crashing every time,negativo
339,The server uptime is 99.9%,neutral
340,Excellent usability and speed,positivo
341,It made my work harder,negativo
342,System maintenance will occur tonight,neutral
343,Amazing experience with the service,positivo
344,Terrible experience,negativo
345,The server uptime is 99.9%,neutral
346,The performance is outstanding,positivo
347,Not user friendly at all,negativo
348,The file was uploaded successfully,neutral
349,Highly recommend this tool,positivo
350,Poor customer service,negativo
351,The file was uploaded successfully,neutral
352,I love this product,positivo
353,Too many bugs and errors,negativo
354,The server uptime is 99.9%,neutral
355,Excellent usability and speed,positivo
356,Very disappointed with the performance,negativo
357,User logged in from a new device,neutral
358,Highly recommend this tool,positivo
359,Terrible experience,negativo
360,User logged in from a new device,neutral
361,This platform helped me grow,positivo
362,Keeps crashing every time,negativo
363,Version 2.1 is now available,neutral
364,I love this product,positivo
365,Very disappointed with the performance,negativo
366,Documentation has been updated,neutral
367,Highly recommend this tool,positivo
368,Very disappointed with the performance,negativo
369,The project deadline is next Monday,neutral
370,I love this product,positivo
371,Very disappointed with the performance,negativo
372,Documentation has been updated,neutral
373,Great support from the team,positivo
374,Not user friendly at all,negativo
375,System maintenance will occur tonight,neutral
376,Amazing experience with the service,positivo
377,Very disappointed with the performance,negativo
378,System maintenance will occur tonight,neutral
379,This platform helped me grow,positivo
380,I would not recommend it,negativo
381,Documentation has been updated,neutral
382,Amazing experience with the service,positivo
383,Too many bugs and errors,negativo
384,Version 2.1 is now available,neutral
385,Excellent usability and speed,positivo
386,I would not recommend it,negativo
387,Version 2.1 is now available,neutral
388,Very satisfied with the quality,positivo
389,I would not recommend it,negativo
390,Documentation has been updated,neutral
391,Everything works perfectly,positivo
392,Extremely slow and unresponsive,negativo
393,The meeting is scheduled for 10 AM,neutral
394,Amazing experience with the service,positivo
395,Terrible experience,negativo
396,The file was uploaded successfully,neutral
397,Highly recommend this tool,positivo
398,Terrible experience,negativo
399,The meeting is scheduled for 10 AM,neutral
400,I love this product,positivo
401,Keeps crashing every time,negativo
402,The server uptime is 99.9%,neutral
403,This platform helped me grow,positivo
404,Extremely slow and unresponsive,negativo
405,The meeting is scheduled for 10 AM,neutral
406,The performance is outstanding,positivo
407,I would not recommend it,negativo
408,This update includes bug fixes,neutral
409,Highly recommend this tool,positivo
410,Extremely slow and unresponsive,negativo
411,Documentation has been updated,neutral
412,Great support from the team,positivo
413,I would not recommend it,negativo
414,Documentation has been updated,neutral
415,Amazing experience with the service,positivo
416,Keeps crashing every time,negativo
417,The file was uploaded successfully,neutral
418,This platform helped me grow,positivo
419,Extremely slow and unresponsive,negativo
420,No major changes were introduced,neutral
421,This platform helped me grow,positivo
422,It made my work harder,negativo
423,No major changes were introduced,neutral
424,Great support from the team,positivo
425,I would not recommend it,negativo
426,This update includes bug fixes,neutral
427,Very satisfied with the quality,positivo
428,Too many bugs and errors,negativo
429,The file was uploaded successfully,neutral
430,I love this product,positivo
431,Very disappointed with the performance,negativo
432,System maintenance will occur tonight,neutral
433,Great support from the team,positivo
434,Too many bugs and errors,negativo
435,Documentation has been updated,neutral
436,Truly a game changer,positivo
437,It made my work harder,negativo
438,This update includes bug fixes,neutral
439,Everything works perfectly,positivo
440,Very disappointed with the performance,negativo
441,The project deadline is next Monday,neutral
442,Very satisfied with the quality,positivo
443,Poor customer service,negativo
444,User logged in from a new device,neutral
445,Everything works perfectly,positivo
446,Terrible experience,negativo
447,System maintenance will occur tonight,neutral
448,Very satisfied with the quality,positivo
449,I would not recommend it,negativo
450,The server uptime is 99.9%,neutral
451,Highly recommend this tool,positivo
452,Too many bugs and errors,negativo
453,Documentation has been updated,neutral
454,Very satisfied with the quality,positivo
455,Not user friendly at all,negativo
456,The meeting is scheduled for 10 AM,neutral
457,Great support from the team,positivo
458,I would not recommend it,negativo
459,Documentation has been updated,neutral
460,Great support from the team,positivo
461,Too many bugs and errors,negativo
462,The server uptime is 99.9%,neutral
463,Excellent usability and speed,positivo
464,Very disappointed with the performance,negativo
465,System maintenance will occur tonight,neutral
466,I love this product,positivo
467,I would not recommend it,negativo
468,The server uptime is 99.9%,neutral
469,Excellent usability and speed,positivo
470,Too many bugs and errors,negativo
471,The server uptime is 99.9%,neutral
472,Everything works perfectly,positivo
473,Too many bugs and errors,negativo
474,This update includes bug fixes,neutral
475,This platform helped me grow,positivo
476,Poor customer service,negativo
477,User logged in from a new device,neutral
478,This platform helped me grow,positivo
479,Extremely slow and unresponsive,negativo
480,Version 2.1 is now available,neutral
481,I love this product,positivo
482,I would not recommend it,negativo
483,The file was uploaded successfully,neutral
484,I love this product,positivo
485,Poor customer service,negativo
486,The meeting is scheduled for 10 AM,neutral
487,Very satisfied with the quality,positivo
488,Poor customer service,negativo
489,This update includes bug fixes,neutral
490,Amazing experience with the service,positivo
491,Too many bugs and errors,negativo
492,User logged in from a new device,neutral
493,This platform helped me grow,positivo
494,Poor customer service,negativo
495,Version 2.1 is now available,neutral
496,Highly recommend this tool,positivo
497,This is the worst tool I've used,negativo
498,This update includes bug fixes,neutral
499,Truly a game changer,positivo
500,Extremely slow and unresponsive,negativo
501,System maintenance will occur tonight,neutral
502,Truly a game changer,positivo
