id,texto,sentimiento,fuente,version
120,El soporte tuvo un resultado positivo,positivo,manual,v2
121,El soporte llego en buen estado,positivo,manual,v2
122,El soporte se gestiono correctamente,positivo,manual,v2
123,El soporte fue simple y practica,positivo,manual,v2
124,El soporte entrego informacion completa,positivo,manual,v2
125,El soporte mostro un desempeno estable,positivo,manual,v2
126,La plataforma fue excelente y clara,positivo,manual,v2
127,La plataforma funciono de manera correcta,positivo,manual,v2
128,La plataforma supero las expectativas,positivo,manual,v2
129,La plataforma resulto muy satisfactoria,positivo,manual,v2
130,La plataforma fue rapida y ordenada,positivo,manual,v2
131,La plataforma cumplio lo prometido,positivo,manual,v2
132,La plataforma se completo sin inconvenientes,positivo,manual,v2
133,La plataforma fue facil de entender,positivo,manual,v2
134,La plataforma ofrecio una solucion util,positivo,manual,v2
135,La plataforma mantuvo buena calidad,positivo,manual,v2
136,La plataforma fue precisa y oportuna,positivo,manual,v2
137,La plataforma ayudo a resolver la duda,positivo,manual,v2
138,La plataforma se desarrollo con eficiencia,positivo,manual,v2
139,La plataforma dejo una buena impresion,positivo,manual,v2
140,La plataforma fue confiable durante el uso,positivo,manual,v2
141,La plataforma respondio de forma adecuada,positivo,manual,v2
142,La plataforma mejoro la experiencia general,positivo,manual,v2
143,La plataforma fue amable y profesional,positivo,manual,v2
144,La plataforma permitio avanzar sin problemas,positivo,manual,v2
145,La plataforma tuvo un resultado positivo,positivo,manual,v2
146,La plataforma llego en buen estado,positivo,manual,v2
147,La plataforma se gestiono correctamente,positivo,manual,v2
148,La plataforma fue simple y practica,positivo,manual,v2
149,La plataforma entrego informacion completa,positivo,manual,v2
150,La plataforma mostro un desempeno estable,positivo,manual,v2
151,El sistema fue excelente y clara,positivo,manual,v2
152,El sistema funciono de manera correcta,positivo,manual,v2
153,El sistema supero las expectativas,positivo,manual,v2
154,El sistema resulto muy satisfactoria,positivo,manual,v2
155,El sistema fue rapida y ordenada,positivo,manual,v2
156,El sistema cumplio lo prometido,positivo,manual,v2
157,El sistema se completo sin inconvenientes,positivo,manual,v2
158,El sistema fue facil de entender,positivo,manual,v2
159,El sistema ofrecio una solucion util,positivo,manual,v2
160,El sistema mantuvo buena calidad,positivo,manual,v2
161,El sistema fue precisa y oportuna,positivo,manual,v2
162,El sistema ayudo a resolver la duda,positivo,manual,v2
163,El sistema se desarrollo con eficiencia,positivo,manual,v2
164,El sistema dejo una buena impresion,positivo,manual,v2
165,El sistema fue confiable durante el uso,positivo,manual,v2
166,El sistema respondio de forma adecuada,positivo,manual,v2
167,El sistema mejoro la experiencia general,positivo,manual,v2
168,El sistema fue amable y profesional,positivo,manual,v2
169,El sistema permitio avanzar sin problemas,positivo,manual,v2
170,El sistema tuvo un resultado positivo,positivo,manual,v2
171,El sistema llego en buen estado,positivo,manual,v2
172,El sistema se gestiono correctamente,positivo,manual,v2
173,El sistema fue simple y practica,positivo,manual,v2
174,El sistema entrego informacion completa,positivo,manual,v2
175,El sistema mostro un desempeno estable,positivo,manual,v2
176,La compra fue excelente y clara,positivo,manual,v2
177,La compra funciono de manera correcta,positivo,manual,v2
178,La compra supero las expectativas,positivo,manual,v2
179,La compra resulto muy satisfactoria,positivo,manual,v2
180,La compra fue rapida y ordenada,positivo,manual,v2
181,La compra cumplio lo prometido,positivo,manual,v2
182,La compra se completo sin inconvenientes,positivo,manual,v2
183,La compra fue facil de entender,positivo,manual,v2
184,La compra ofrecio una solucion util,positivo,manual,v2
185,La compra mantuvo buena calidad,positivo,manual,v2
186,La compra fue precisa y oportuna,positivo,manual,v2
187,La compra ayudo a resolver la duda,positivo,manual,v2
188,La compra se desarrollo con eficiencia,positivo,manual,v2
189,La compra dejo una buena impresion,positivo,manual,v2
190,La compra fue confiable durante el uso,positivo,manual,v2
191,La compra respondio de forma adecuada,positivo,manual,v2
192,La compra mejoro la experiencia general,positivo,manual,v2
193,La compra fue amable y profesional,positivo,manual,v2
194,La compra permitio avanzar sin problemas,positivo,manual,v2
195,La compra tuvo un resultado positivo,positivo,manual,v2
196,La compra llego en buen estado,positivo,manual,v2
197,La compra se gestiono correctamente,positivo,manual,v2
198,La compra fue simple y practica,positivo,manual,v2
199,La compra entrego informacion completa,positivo,manual,v2
200,La compra mostro un desempeno estable,positivo,manual,v2
201,El proceso fue excelente y clara,positivo,manual,v2
202,El proceso funciono de manera correcta,positivo,manual,v2
203,El proceso supero las expectativas,positivo,manual,v2
204,El proceso resulto muy satisfactoria,positivo,manual,v2
205,El proceso fue rapida y ordenada,positivo,manual,v2
206,El proceso cumplio lo prometido,positivo,manual,v2
207,El proceso se completo sin inconvenientes,positivo,manual,v2
208,El proceso fue facil de entender,positivo,manual,v2
209,El proceso ofrecio una solucion util,positivo,manual,v2
210,El proceso mantuvo buena calidad,positivo,manual,v2
211,El proceso fue precisa y oportuna,positivo,manual,v2
212,El proceso ayudo a resolver la duda,positivo,manual,v2
213,El proceso se desarrollo con eficiencia,positivo,manual,v2
214,El proceso dejo una buena impresion,positivo,manual,v2
215,El proceso fue confiable durante el uso,positivo,manual,v2
216,El proceso respondio de forma adecuada,positivo,manual,v2
217,El proceso mejoro la experiencia general,positivo,manual,v2
218,El proceso fue amable y profesional,positivo,manual,v2
219,El proceso permitio avanzar sin problemas,positivo,manual,v2
220,El proceso tuvo un resultado positivo,positivo,manual,v2
221,El proceso llego en buen estado,positivo,manual,v2
222,El proceso se gestiono correctamente,positivo,manual,v2
223,El proceso fue simple y practica,positivo,manual,v2
224,El proceso entrego informacion completa,positivo,manual,v2
225,El proceso mostro un desempeno estable,positivo,manual,v2
226,La informacion fue excelente y clara,positivo,manual,v2
227,La informacion funciono de manera correcta,positivo,manual,v2
228,La informacion supero las expectativas,positivo,manual,v2
229,La informacion resulto muy satisfactoria,positivo,manual,v2
230,La informacion fue rapida y ordenada,positivo,manual,v2
231,La informacion cumplio lo prometido,positivo,manual,v2
232,La informacion se completo sin inconvenientes,positivo,manual,v2
233,La informacion fue facil de entender,positivo,manual,v2
234,La informacion ofrecio una solucion util,positivo,manual,v2
235,La informacion mantuvo buena calidad,positivo,manual,v2
236,La informacion fue precisa y oportuna,positivo,manual,v2
237,La informacion ayudo a resolver la duda,positivo,manual,v2
238,La informacion se desarrollo con eficiencia,positivo,manual,v2
239,La informacion dejo una buena impresion,positivo,manual,v2
240,La informacion fue confiable durante el uso,positivo,manual,v2
241,La informacion respondio de forma adecuada,positivo,manual,v2
242,La informacion mejoro la experiencia general,positivo,manual,v2
243,La informacion fue amable y profesional,positivo,manual,v2
244,La informacion permitio avanzar sin problemas,positivo,manual,v2
245,La informacion tuvo un resultado positivo,positivo,manual,v2
246,La informacion llego en buen estado,positivo,manual,v2
247,La informacion se gestiono correctamente,positivo,manual,v2
248,La informacion fue simple y practica,positivo,manual,v2
249,La informacion entrego informacion completa,positivo,manual,v2
250,La informacion mostro un desempeno estable,positivo,manual,v2
251,La respuesta fue excelente y clara,positivo,manual,v2
252,La respuesta funciono de manera correcta,positivo,manual,v2
253,La respuesta supero las expectativas,positivo,manual,v2
254,La respuesta resulto muy satisfactoria,positivo,manual,v2
255,La respuesta fue rapida y ordenada,positivo,manual,v2
256,La respuesta cumplio lo prometido,positivo,manual,v2
257,La respuesta se completo sin inconvenientes,positivo,manual,v2
258,La respuesta fue facil de entender,positivo,manual,v2
259,La respuesta ofrecio una solucion util,positivo,manual,v2
260,La respuesta mantuvo buena calidad,positivo,manual,v2
261,La respuesta fue precisa y oportuna,positivo,manual,v2
262,La respuesta ayudo a resolver la duda,positivo,manual,v2
263,La respuesta se desarrollo con eficiencia,positivo,manual,v2
264,La respuesta dejo una buena impresion,positivo,manual,v2
265,La respuesta fue confiable durante el uso,positivo,manual,v2
266,La respuesta respondio de forma adecuada,positivo,manual,v2
267,La respuesta mejoro la experiencia general,positivo,manual,v2
268,La respuesta fue amable y profesional,positivo,manual,v2
269,La respuesta permitio avanzar sin problemas,positivo,manual,v2
270,La respuesta tuvo un resultado positivo,positivo,manual,v2
271,La respuesta llego en buen estado,positivo,manual,v2
272,La respuesta se gestiono correctamente,positivo,manual,v2
273,La respuesta fue simple y practica,positivo,manual,v2
274,La respuesta entrego informacion completa,positivo,manual,v2
275,La respuesta mostro un desempeno estable,positivo,manual,v2
276,El tramite fue excelente y clara,positivo,manual,v2
277,El tramite funciono de manera correcta,positivo,manual,v2
278,El tramite supero las expectativas,positivo,manual,v2
279,El tramite resulto muy satisfactoria,positivo,manual,v2
280,El tramite fue rapida y ordenada,positivo,manual,v2
281,El tramite cumplio lo prometido,positivo,manual,v2
282,El tramite se completo sin inconvenientes,positivo,manual,v2
283,El tramite fue facil de entender,positivo,manual,v2
284,El tramite ofrecio una solucion util,positivo,manual,v2
285,El tramite mantuvo buena calidad,positivo,manual,v2
286,El tramite fue precisa y oportuna,positivo,manual,v2
287,El tramite ayudo a resolver la duda,positivo,manual,v2
288,El tramite se desarrollo con eficiencia,positivo,manual,v2
289,El tramite dejo una buena impresion,positivo,manual,v2
290,El tramite fue confiable durante el uso,positivo,manual,v2
291,El tramite respondio de forma adecuada,positivo,manual,v2
292,El tramite mejoro la experiencia general,positivo,manual,v2
293,El tramite fue amable y profesional,positivo,manual,v2
294,El tramite permitio avanzar sin problemas,positivo,manual,v2
295,El tramite tuvo un resultado positivo,positivo,manual,v2
296,El tramite llego en buen estado,positivo,manual,v2
297,El tramite se gestiono correctamente,positivo,manual,v2
298,El tramite fue simple y practica,positivo,manual,v2
299,El tramite entrego informacion completa,positivo,manual,v2
300,El tramite mostro un desempeno estable,positivo,manual,v2
301,La herramienta fue excelente y clara,positivo,manual,v2
302,La herramienta funciono de manera correcta,positivo,manual,v2
303,La herramienta supero las expectativas,positivo,manual,v2
304,La herramienta resulto muy satisfactoria,positivo,manual,v2
305,La herramienta fue rapida y ordenada,positivo,manual,v2
306,La herramienta cumplio lo prometido,positivo,manual,v2
307,La herramienta se completo sin inconvenientes,positivo,manual,v2
308,La herramienta fue facil de entender,positivo,manual,v2
309,La herramienta ofrecio una solucion util,positivo,manual,v2
310,La herramienta mantuvo buena calidad,positivo,manual,v2
311,La herramienta fue precisa y oportuna,positivo,manual,v2
312,La herramienta ayudo a resolver la duda,positivo,manual,v2
313,La herramienta se desarrollo con eficiencia,positivo,manual,v2
314,La herramienta dejo una buena impresion,positivo,manual,v2
315,La herramienta fue confiable durante el uso,positivo,manual,v2
316,La herramienta respondio de forma adecuada,positivo,manual,v2
317,La herramienta mejoro la experiencia general,positivo,manual,v2
318,La herramienta fue amable y profesional,positivo,manual,v2
319,La herramienta permitio avanzar sin problemas,positivo,manual,v2
320,La herramienta tuvo un resultado positivo,positivo,manual,v2
321,La herramienta llego en buen estado,positivo,manual,v2
322,La herramienta se gestiono correctamente,positivo,manual,v2
323,La herramienta fue simple y practica,positivo,manual,v2
324,La herramienta entrego informacion completa,positivo,manual,v2
325,La herramienta mostro un desempeno estable,positivo,manual,v2
326,El pedido fue excelente y clara,positivo,manual,v2
327,El pedido funciono de manera correcta,positivo,manual,v2
328,El pedido supero las expectativas,positivo,manual,v2
329,El pedido resulto muy satisfactoria,positivo,manual,v2
330,El pedido fue rapida y ordenada,positivo,manual,v2
331,El pedido cumplio lo prometido,positivo,manual,v2
332,El pedido se completo sin inconvenientes,positivo,manual,v2
333,El pedido fue facil de entender,positivo,manual,v2
334,El pedido ofrecio una solucion util,positivo,manual,v2
335,El pedido mantuvo buena calidad,positivo,manual,v2
336,El pedido fue precisa y oportuna,positivo,manual,v2
337,El pedido ayudo a resolver la duda,positivo,manual,v2
338,El pedido se desarrollo con eficiencia,positivo,manual,v2
339,El pedido dejo una buena impresion,positivo,manual,v2
340,El pedido fue confiable durante el uso,positivo,manual,v2
341,El pedido respondio de forma adecuada,positivo,manual,v2
342,El pedido mejoro la experiencia general,positivo,manual,v2
343,El pedido fue amable y profesional,positivo,manual,v2
344,El pedido permitio avanzar sin problemas,positivo,manual,v2
345,El pedido tuvo un resultado positivo,positivo,manual,v2
346,El pedido llego en buen estado,positivo,manual,v2
347,El pedido se gestiono correctamente,positivo,manual,v2
348,El pedido fue simple y practica,positivo,manual,v2
349,El pedido entrego informacion completa,positivo,manual,v2
350,El pedido mostro un desempeno estable,positivo,manual,v2
351,La experiencia fue excelente y clara,positivo,manual,v2
352,La experiencia funciono de manera correcta,positivo,manual,v2
353,La experiencia supero las expectativas,positivo,manual,v2
354,La experiencia resulto muy satisfactoria,positivo,manual,v2
355,La experiencia fue rapida y ordenada,positivo,manual,v2
356,La experiencia cumplio lo prometido,positivo,manual,v2
357,La experiencia se completo sin inconvenientes,positivo,manual,v2
358,La experiencia fue facil de entender,positivo,manual,v2
359,La experiencia ofrecio una solucion util,positivo,manual,v2
360,La experiencia mantuvo buena calidad,positivo,manual,v2
361,La experiencia fue precisa y oportuna,positivo,manual,v2
362,La experiencia ayudo a resolver la duda,positivo,manual,v2
363,La experiencia se desarrollo con eficiencia,positivo,manual,v2
364,La experiencia dejo una buena impresion,positivo,manual,v2
365,La experiencia fue confiable durante el uso,positivo,manual,v2
366,La experiencia respondio de forma adecuada,positivo,manual,v2
367,La experiencia mejoro la experiencia general,positivo,manual,v2
368,La experiencia fue amable y profesional,positivo,manual,v2
369,La experiencia permitio avanzar sin problemas,positivo,manual,v2
370,La experiencia tuvo un resultado positivo,positivo,manual,v2
371,La experiencia llego en buen estado,positivo,manual,v2
372,La experiencia se gestiono correctamente,positivo,manual,v2
373,La experiencia fue simple y practica,positivo,manual,v2
374,La experiencia entrego informacion completa,positivo,manual,v2
375,La experiencia mostro un desempeno estable,positivo,manual,v2
376,La guia fue excelente y clara,positivo,manual,v2
377,La guia funciono de manera correcta,positivo,manual,v2
378,La guia supero las expectativas,positivo,manual,v2
379,La guia resulto muy satisfactoria,positivo,manual,v2
380,La guia fue rapida y ordenada,positivo,manual,v2
381,La guia cumplio lo prometido,positivo,manual,v2
382,La guia se completo sin inconvenientes,positivo,manual,v2
383,La guia fue facil de entender,positivo,manual,v2
384,La guia ofrecio una solucion util,positivo,manual,v2
385,La guia mantuvo buena calidad,positivo,manual,v2
386,La guia fue precisa y oportuna,positivo,manual,v2
387,La guia ayudo a resolver la duda,positivo,manual,v2
388,La guia se desarrollo con eficiencia,positivo,manual,v2
389,La guia dejo una buena impresion,positivo,manual,v2
390,La guia fue confiable durante el uso,positivo,manual,v2
391,La guia respondio de forma adecuada,positivo,manual,v2
392,La guia mejoro la experiencia general,positivo,manual,v2
393,La guia fue amable y profesional,positivo,manual,v2
394,La guia permitio avanzar sin problemas,positivo,manual,v2
395,La guia tuvo un resultado positivo,positivo,manual,v2
396,La guia llego en buen estado,positivo,manual,v2
397,La guia se gestiono correctamente,positivo,manual,v2
398,La guia fue simple y practica,positivo,manual,v2
399,La guia entrego informacion completa,positivo,manual,v2
400,La guia mostro un desempeno estable,positivo,manual,v2
401,La solicitud fue excelente y clara,positivo,manual,v2
402,La solicitud funciono de manera correcta,positivo,manual,v2
403,La solicitud supero las expectativas,positivo,manual,v2
404,La solicitud resulto muy satisfactoria,positivo,manual,v2
405,La solicitud fue rapida y ordenada,positivo,manual,v2
406,La solicitud cumplio lo prometido,positivo,manual,v2
407,La solicitud se completo sin inconvenientes,positivo,manual,v2
408,La solicitud fue facil de entender,positivo,manual,v2
409,La solicitud ofrecio una solucion util,positivo,manual,v2
410,La solicitud mantuvo buena calidad,positivo,manual,v2
411,La solicitud fue precisa y oportuna,positivo,manual,v2
412,La solicitud ayudo a resolver la duda,positivo,manual,v2
413,La solicitud se desarrollo con eficiencia,positivo,manual,v2
414,La solicitud dejo una buena impresion,positivo,manual,v2
415,La solicitud fue confiable durante el uso,positivo,manual,v2
416,La solicitud respondio de forma adecuada,positivo,manual,v2
417,La solicitud mejoro la experiencia general,positivo,manual,v2
418,La solicitud fue amable y profesional,positivo,manual,v2
419,La solicitud permitio avanzar sin problemas,positivo,manual,v2
420,La solicitud tuvo un resultado positivo,positivo,manual,v2
421,La solicitud llego en buen estado,positivo,manual,v2
422,La solicitud se gestiono correctamente,positivo,manual,v2
423,La solicitud fue simple y practica,positivo,manual,v2
424,La solicitud entrego informacion completa,positivo,manual,v2
425,La solicitud mostro un desempeno estable,positivo,manual,v2
426,El reporte fue excelente y clara,positivo,manual,v2
427,El reporte funciono de manera correcta,positivo,manual,v2
428,El reporte supero las expectativas,positivo,manual,v2
429,El reporte resulto muy satisfactoria,positivo,manual,v2
430,El reporte fue rapida y ordenada,positivo,manual,v2
431,El reporte cumplio lo prometido,positivo,manual,v2
432,El reporte se completo sin inconvenientes,positivo,manual,v2
433,El reporte fue facil de entender,positivo,manual,v2
434,El reporte ofrecio una solucion util,positivo,manual,v2
435,El reporte mantuvo buena calidad,positivo,manual,v2
436,El reporte fue precisa y oportuna,positivo,manual,v2
437,El reporte ayudo a resolver la duda,positivo,manual,v2
438,El reporte se desarrollo con eficiencia,positivo,manual,v2
439,El reporte dejo una buena impresion,positivo,manual,v2
440,El reporte fue confiable durante el uso,positivo,manual,v2
441,El reporte respondio de forma adecuada,positivo,manual,v2
442,El reporte mejoro la experiencia general,positivo,manual,v2
443,El reporte fue amable y profesional,positivo,manual,v2
444,El reporte permitio avanzar sin problemas,positivo,manual,v2
445,El reporte tuvo un resultado positivo,positivo,manual,v2
446,El reporte llego en buen estado,positivo,manual,v2
447,El reporte se gestiono correctamente,positivo,manual,v2
448,El reporte fue simple y practica,positivo,manual,v2
449,El reporte entrego informacion completa,positivo,manual,v2
450,El reporte mostro un desempeno estable,positivo,manual,v2
451,La orientacion fue excelente y clara,positivo,manual,v2
452,La orientacion funciono de manera correcta,positivo,manual,v2
453,La orientacion supero las expectativas,positivo,manual,v2
454,La orientacion resulto muy satisfactoria,positivo,manual,v2
455,La orientacion fue rapida y ordenada,positivo,manual,v2
456,La orientacion cumplio lo prometido,positivo,manual,v2
457,La orientacion se completo sin inconvenientes,positivo,manual,v2
458,La orientacion fue facil de entender,positivo,manual,v2
459,La orientacion ofrecio una solucion util,positivo,manual,v2
460,La orientacion mantuvo buena calidad,positivo,manual,v2
461,La orientacion fue precisa y oportuna,positivo,manual,v2
462,La orientacion ayudo a resolver la duda,positivo,manual,v2
463,La orientacion se desarrollo con eficiencia,positivo,manual,v2
464,La orientacion dejo una buena impresion,positivo,manual,v2
465,La orientacion fue confiable durante el uso,positivo,manual,v2
466,La orientacion respondio de forma adecuada,positivo,manual,v2
467,La orientacion mejoro la experiencia general,positivo,manual,v2
468,La orientacion fue amable y profesional,positivo,manual,v2
469,La orientacion permitio avanzar sin problemas,positivo,manual,v2
470,La orientacion tuvo un resultado positivo,positivo,manual,v2
471,La orientacion llego en buen estado,positivo,manual,v2
472,La orientacion se gestiono correctamente,positivo,manual,v2
473,La orientacion fue simple y practica,positivo,manual,v2
474,La orientacion entrego informacion completa,positivo,manual,v2
475,La orientacion mostro un desempeno estable,positivo,manual,v2
476,La gestion fue excelente y clara,positivo,manual,v2
477,La gestion funciono de manera correcta,positivo,manual,v2
478,La gestion supero las expectativas,positivo,manual,v2
479,La gestion resulto muy satisfactoria,positivo,manual,v2
480,La gestion fue rapida y ordenada,positivo,manual,v2
481,La gestion cumplio lo prometido,positivo,manual,v2
482,La gestion se completo sin inconvenientes,positivo,manual,v2
483,La gestion fue facil de entender,positivo,manual,v2
484,La gestion ofrecio una solucion util,positivo,manual,v2
485,La gestion mantuvo buena calidad,positivo,manual,v2
486,La gestion fue precisa y oportuna,positivo,manual,v2
487,La gestion ayudo a resolver la duda,positivo,manual,v2
488,La gestion se desarrollo con eficiencia,positivo,manual,v2
489,La gestion dejo una buena impresion,positivo,manual,v2
490,La gestion fue confiable durante el uso,positivo,manual,v2
491,La gestion respondio de forma adecuada,positivo,manual,v2
492,La gestion mejoro la experiencia general,positivo,manual,v2
493,La gestion fue amable y profesional,positivo,manual,v2
494,La gestion permitio avanzar sin problemas,positivo,manual,v2
495,La gestion tuvo un resultado positivo,positivo,manual,v2
496,La gestion llego en buen estado,positivo,manual,v2
497,La gestion se gestiono correctamente,positivo,manual,v2
498,La gestion fue simple y practica,positivo,manual,v2
499,La gestion entrego informacion completa,positivo,manual,v2
500,La gestion mostro un desempeno estable,positivo,manual,v2
501,El pedido quedo registrado en el sistema,neutral,manual,v2
502,El pedido se encuentra en revision,neutral,manual,v2
503,El pedido muestra el estado actual,neutral,manual,v2
504,El pedido fue recibido correctamente,neutral,manual,v2
505,El pedido esta disponible para consulta,neutral,manual,v2
506,El pedido permanece en proceso,neutral,manual,v2
507,El pedido tiene informacion general,neutral,manual,v2
508,El pedido fue actualizado en la plataforma,neutral,manual,v2
509,El pedido aparece en el historial,neutral,manual,v2
510,El pedido mantiene estado activo,neutral,manual,v2
511,El pedido fue clasificado para revision,neutral,manual,v2
512,El pedido esta programado para seguimiento,neutral,manual,v2
513,El pedido quedo guardado sin cambios,neutral,manual,v2
514,El pedido incluye datos descriptivos,neutral,manual,v2
515,El pedido se muestra en el panel,neutral,manual,v2
516,El pedido fue enviado para validacion,neutral,manual,v2
517,El pedido esta pendiente de confirmacion,neutral,manual,v2
518,El pedido contiene una descripcion breve,neutral,manual,v2
519,El pedido se encuentra en la lista,neutral,manual,v2
520,El pedido fue marcado como recibido,neutral,manual,v2
521,El pedido tiene una fecha asignada,neutral,manual,v2
522,El pedido continua abierto en el sistema,neutral,manual,v2
523,El pedido presenta opciones disponibles,neutral,manual,v2
524,El pedido quedo documentado en el reporte,neutral,manual,v2
525,El pedido se mantiene sin novedad,neutral,manual,v2
